Emp ID	First Name	Gender	E Mail	Date of Birth	Age in Yrs.	Phone No. 	County	City	State	Premium-term	Premium-amount	Defaulter
850297	Shawna	F	shawna.buck@gmail.com	12/12/1971	45.66	702-771-7149	Clark	Las Vegas	NV	Half-yearly	119090	No
304721	Nathaniel	M	nathaniel.burke@walmart.com	10/31/1993	23.76	231-765-6923	Lake	Irons	MI	Yearly	117991	Yes
412317	Elisabeth	F	elisabeth.foster@gmail.com	11/26/1994	22.68	270-749-4774	Fayette	Lexington	KY	Half-yearly	161045	No
621375	Briana	F	briana.lancaster@yahoo.com	11/24/1975	41.7	219-623-8216	Lake	Munster	IN	Yearly	142616	Yes
787549	Estella	F	estella.potter@gmail.com	3/13/1995	22.39	907-677-8486	Fairbanks North Star	Fairbanks	AK	Quatrly	135706	No
520092	Lamont	M	lamont.woods@hotmail.com	10/13/1991	25.81	236-597-8196	Loudoun	Purcellville	VA	Yearly	173027	No
795934	Melinda	F	melinda.lopez@hotmail.com	9/15/1984	32.89	210-396-1493	Chambers	Stowell	TX	Yearly	41287	No
159108	Shanna	F	shanna.silva@gmail.com	6/19/1958	59.15	236-373-6712	Fairfax	Herndon	VA	Single	85833	Yes
330816	Jasmine	F	jasmine.freeman@gmail.com	8/31/1961	55.95	423-796-1535	Polk	Ocoee	TN	Single	154216	Yes
532002	Madge	F	madge.sargent@aol.com	10/2/1981	35.84	217-910-0644	Sangamon	Springfield	IL	Single	133003	Yes
612850	Bethany	F	bethany.cline@yahoo.ca	10/1/1986	30.84	215-970-5881	Lycoming	Montgomery	PA	Yearly	154836	Yes
483751	Reid	M	reid.randolph@gmail.com	1/20/1989	28.54	209-996-8902	Los Angeles	Pacoima	CA	Yearly	124757	Yes
252938	Antoine	M	antoine.wiley@verizon.net	2/22/1996	21.44	503-361-6334	Clackamas	Canby	OR	Single	58733	Yes
966375	Mathew	M	mathew.hodge@hotmail.com	7/5/1995	22.08	209-294-7430	Los Angeles	Van Nuys	CA	Single	75584	No
707520	Bernardo	M	bernardo.austin@hotmail.com	2/2/1975	42.51	319-716-4227	Marion	Knoxville	IA	Single	118693	No
673049	Cole	M	cole.jensen@aol.com	2/10/1990	27.48	405-495-4201	Oklahoma	Oklahoma City	OK	Yearly	98381	No
265124	Tonia	F	tonia.burns@gmail.com	4/19/1985	32.3	209-631-5424	Fresno	Friant	CA	Yearly	102274	No
300693	Tod	M	tod.holcomb@outlook.com	6/21/1987	30.12	240-364-4220	St. Mary's	Patuxent River	MD	Yearly	91719	Yes
369712	Yesenia	F	yesenia.guerrero@btinternet.com	3/29/1968	49.36	240-505-5321	Baltimore	Reisterstown	MD	Half-yearly	150016	Yes
913253	Carey	M	carey.ferrell@yahoo.com	5/22/1972	45.21	212-495-4523	Greene	New Baltimore	NY	Half-yearly	125232	Yes
308617	Aileen	F	aileen.blanchard@gmail.com	12/5/1986	30.67	308-788-3843	Washington	Herman	NE	Half-yearly	179264	Yes
766783	Marta	F	marta.cervantes@gmail.com	2/17/1971	46.47	206-858-9176	Grays Harbor	Hoquiam	WA	Yearly	68134	Yes
959506	Arthur	M	arthur.holloway@aol.com	9/21/1970	46.88	225-832-0451	Winn	Dodson	LA	Yearly	118621	No
513011	Tara	F	tara.forbes@gmail.com	6/26/1976	41.12	319-249-4281	O'Brien	Sheldon	IA	Yearly	85864	No
290808	Josef	M	josef.griffin@yahoo.com	8/14/1976	40.98	209-441-9130	Sacramento	Sacramento	CA	Yearly	98030	No
253588	Keri	F	keri.slater@apple.com	8/3/1960	57.02	207-842-2965	Knox	Friendship	ME	Yearly	149842	No
865628	Desmond	M	desmond.wynn@hotmail.com	7/9/1992	25.07	209-319-3405	Fresno	Fresno	CA	Yearly	79476	No
583924	Adrienne	F	adrienne.puckett@verizon.net	5/22/1975	42.21	209-235-0390	San Mateo	Burlingame	CA	Yearly	105366	Yes
932453	Beatriz	F	beatriz.knowles@gmail.com	2/25/1984	33.44	406-923-1326	Lake	Arlee	MT	Yearly	53311	Yes
432168	Jermaine	M	jermaine.sykes@apple.com	1/18/1990	27.54	239-204-8747	Putnam	Welaka	FL	Yearly	122631	Yes
463784	Scott	M	scott.best@cox.net	8/24/1990	26.95	307-504-4165	Sweetwater	Bairoil	WY	Yearly	45210	No
721098	Isabel	F	isabel.espinoza@gmail.com	12/9/1971	45.67	405-622-8606	Coal	Tupelo	OK	Yearly	115858	No
392678	Marcelino	M	marcelino.kinney@gmail.com	1/26/1996	21.52	479-929-0873	Little Rock	Little Rock	AR	Yearly	178750	No
880704	Benjamin	M	benjamin.jennings@gmail.com	5/21/1977	40.21	907-621-7774	Northwest Arctic	Shungnak	AK	Yearly	115574	No
186102	Marcia	F	marcia.casey@gmail.com	7/24/1966	51.05	210-804-3397	Victoria	Victoria	TX	Yearly	118607	Yes
350367	Rudolph	M	rudolph.gordon@aol.com	4/28/1979	38.28	304-418-1131	Harrison	Shinnston	WV	Yearly	98990	Yes
893976	Beverly	F	beverly.rosales@yahoo.com	3/4/1975	42.43	217-490-8205	Vermilion	Rossville	IL	Yearly	139394	Yes
